GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001547,2013,2013,,EUR,Europe,,SVN,Slovenia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,ESP,Spain,,SA_SPIRITS,Spirits,,598,598,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,SA_SPIRITS,Spirits,,2485.6,2485.6,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,SA_BEER,Beer,,23.95,23.95,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,BEL,Belgium,,SA_WINE,Wine,,52.75,52.75,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,AUT,Austria,,SA_SPIRITS,Spirits,,1200,1200,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,HRV,Croatia,,SA_SPIRITS,Spirits,,707,707,,,,,
SA_0000001547,2013,2013,,EUR,Europe,,DNK,Denmark,,SA_SPIRITS,Spirits,,2011.69,2011.69,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,DNK,Denmark,,SA_WINE,Wine,,182.33,182.33,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,EST,Estonia,,SA_BEER,Beer,,7.22,7.22,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,GRC,Greece,,SA_SPIRITS,Spirits,,2450,2450,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,IRL,Ireland,,SA_SPIRITS,Spirits,,4257,4257,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,ITA,Italy,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,LTU,Lithuania,,SA_WINE,Wine,,57.34,57.34,,,,,
SA_0000001547,2015,2015,,EUR,Europe,,LTU,Lithuania,,SA_BEER,Beer,,3.11,3.11,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,POL,Poland,,SA_SPIRITS,Spirits,,1364.1,1364.1,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,ESP,Spain,,SA_SPIRITS,Spirits,,913.28,913.28,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,SWE,Sweden,,SA_WINE,Wine,,276.8,276.8,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,TKM,Turkmenistan,,SA_SPIRITS,Spirits,,79.43,79.43,,,,,
SA_0000001547,2014,2014,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,SA_WINE,Wine,,351.21,351.21,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,AUT,Austria,,SA_TOTAL,All types,,1200,1200,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,CYP,Cyprus,,SA_TOTAL,All types,,957,956.82,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,CZE,Czechia,,SA_TOTAL,All types,,1096,1096.36,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,DEU,Germany,,SA_TOTAL,All types,,1303,1303,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,DNK,Denmark,,SA_TOTAL,All types,,8,7.52,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,ESP,Spain,,SA_TOTAL,All types,,959,958.94,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,EST,Estonia,,SA_TOTAL,All types,,8,8.3,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,FIN,Finland,,SA_TOTAL,All types,,4785,4785,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,FRA,France,,SA_TOTAL,All types,,7,7.41,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,SA_TOTAL,All types,,3250,3250.4,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,GRC,Greece,,SA_TOTAL,All types,,5,5,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,HRV,Croatia,,SA_TOTAL,All types,,707,706.95,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,HUN,Hungary,,SA_TOTAL,All types,,5,5.26,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,IRL,Ireland,,SA_TOTAL,All types,,521,520.65,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,ITA,Italy,,SA_TOTAL,All types,,3,3.02,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,LTU,Lithuania,,SA_TOTAL,All types,,78,77.89,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,LUX,Luxembourg,,SA_TOTAL,All types,,1041,1041.15,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,LVA,Latvia,,SA_TOTAL,All types,,74,74,,,,,
SA_0000001547,2018,2018,,EUR,Europe,,MLT,Malta,,SA_TOTAL,All types,,21,20.5,,,,,
